,title,company,location,count,summary,link,uniqueid
69,Data Scientist / Analyst,Smartlocating Corporation,NA,1,            2+ years of experience creating KPI dashboards and analytics and is able to tell compelling data-based stories.,https://www.indeed.com/rc/clk?jk=355a4dcf86364909&fccid=fcf42d9d883ae5bd&vjs=3,6551c8f8ac2e6af7cfc578eae48700f2
70,Data Scientist - 64411BR,AETNA,"New York, NY",1,            Able to present information to various audiences.Effectively resolves problems and roadblocks as they occur.Demonstrates proficiency in several areas of data…,https://www.indeed.com/rc/clk?jk=be2fa43e2e2572ba&fccid=7077d7e88049c02a&vjs=3,2955ea5cee811f771aafe47369185df8
71,Data Scientist (NC),Tiger Analytics,"Charlotte, NC",1,"            Our consultants bring deep expertise in Data Science, Machine Learning and AI. Apply a broad range of techniques and theories from statistics, machine learning,…",https://www.indeed.com/rc/clk?jk=f4b04cbb0edce40f&fccid=cba01270e96bb012&vjs=3,b0c77659fc716fc06ede1843a6bb9a18
72,Jr. Data Scientist,Viacom,"New York, NY",1,"            Knowledge of algorithms for data mining, machine learning, and/or natural language processing. Segmentation, machine learning) to develop both prototypes and…",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3,3807e53372e3793638c64a5b416ba12e
73,Data Scientist,Beghou Consulting,NA,1,"            In this role, the Data Scientist will serve as a subject matter expert in client engagements and as a thought leader to expand the firm’s machine learning…",https://www.indeed.com/rc/clk?jk=15feb65c29a639ad&fccid=3d3123a1ac04ce14&vjs=3,2c92a471efa099b9baac9ea11fdfbd31
74,Data Scientist,N C Q A,"Washington, DC",1,"            Enhance NCQA reputation for scientific leadership in the area of performance measurement through public speaking, publications, etc. Present analytic results…",https://www.indeed.com/rc/clk?jk=ef1759764a608662&fccid=4c318869610f8e64&vjs=3,9b8e0c084671d8c80a2a6c54ce286099
75,Data Scientist,Billy Casper Golf,"Reston, VA",1,            Demonstrated ability to use predictive modeling and machine learning algorithms to solve business problems. This position will be a key member of the analytics…,https://www.indeed.com/rc/clk?jk=2986305e03bcd41c&fccid=dc2638a079b95f93&vjs=3,9a2b4b0689d8e49d5251abf8c152bbc6
76,"data scientist, Insights & Analytics - Seattle, WA",Starbucks,"Seattle, WA",1,"            Under the guidance of more senior data scientists, create clear and concise packaging and presentation of data products and insights to business stakeholders,…",https://www.indeed.com/rc/clk?jk=059cf6d0b4f9d270&fccid=a88e611ddef97571&vjs=3,e0c6e1c1c42a3716b4f514f88998748f
77,Data Scientist,Source Enterprises,"New York, NY",1,"            Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our…",https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3,0093cf59df1111afd088d405501b53ae
78,Data Classification Specialist,Idiomatic,"Louis, MO",1,"            Reliable - hits deadlines, plans ahead, willing to put in the necessary work to get the job done well and on-time. The traits we are looking for are:",https://www.indeed.com/rc/clk?jk=93d36f861d85a9af&fccid=5e623a7a509ae315&vjs=3,e7bb9465b932dc80dd19eb31585366f4
79,Data Scientist,PrecisionGx,NA,1,            Health insurance claims data sets are some of the most complex data sets available and we need people excited to try to untangle this complex web of information…,https://www.indeed.com/rc/clk?jk=e4afbccf0f154b1f&fccid=922724bffea52c63&vjs=3,df23ec4809a4a0ffcba002579487b85f
80,Junior Data Scientist,Spin Systems,"Charleston, SC",1,"            The Junior Data Scientist will be respondsible for modeling complex organizational problems, discovering insights and identifying opportunities through the use…",https://www.indeed.com/rc/clk?jk=cbd82833f3e8ea90&fccid=9d650879d36fec83&vjs=3,68365e83988655b0cbfc6d8228a4a182
81,Data Scientist,Kaplan,NA,1,            Collaborate with subject matter experts to select the relevant sources of information. 3+ years of experience working with advanced analytic and programming…,https://www.indeed.com/rc/clk?jk=c92a6fbc273d30ae&fccid=4ffdd90de5b0ef8f&vjs=3,8640ee8b616ef07e27cc8e851f732721
